timestamp,lat,lon,x_m,y_m
1703098100378834176,47.63948879,-122.15012,0.0,0.0
1703098100587210240,47.63945364,-122.15010812,0.8941295662738699,-3.926292685463295
1703098100795555072,47.63942134,-122.15009017,2.2451081604133027,-7.534237315098835
1703098101003794944,47.63939227,-122.15006717,3.9761670828446434,-10.781387481273441
1703098101212150016,47.63936648,-122.15003977,6.038385104179644,-13.662158131921842
1703098101420503296,47.63934377,-122.15000871,8.376067285962526,-16.19888947956838
1703098101624019456,47.63932418,-122.14997531,10.88986589584114,-18.387113482276618
1703098101832379648,47.63930622,-122.14993769,13.721276186488346,-20.393264738061134
1703098102040718848,47.63929037,-122.14989674,16.803313704974155,-22.163726731605493
1703098102248967680,47.63927685,-122.14985277,20.112646784604802,-23.673925226574966
1703098102449118464,47.63926633,-122.14980798,23.48369587975852,-24.849020505968156
1703098102657385472,47.63925829,-122.14975962,27.123435424377554,-25.747097124906304
1703098102857455872,47.6392535,-122.14971134,30.757153893844325,-26.282145260836387
1703098103057469184,47.63925171,-122.14966151,34.50753068337468,-26.482090179769102
1703098103265722112,47.63925317,-122.14960849,38.49799781826967,-26.319006614272666
1703098103474172672,47.63925819,-122.1495549,42.53136510931567,-25.75826723258956
1703098103682430464,47.6392668,-122.14950198,46.51430590122785,-24.7965210014911
1703098103882444800,47.6392786,-122.14945184,50.28801435553694,-23.47844835099977
1703098104082454528,47.63929381,-122.14940298,53.965385615070005,-21.779475043359753
1703098104282702592,47.6393121,-122.14935672,57.44707195322001,-19.736462434138957
1703098104490912512,47.63933407,-122.14931244,60.77973669762939,-17.282389880080018
1703098104699303168,47.63935881,-122.14927266,63.77371600206733,-14.518905355487277
1703098104907613184,47.63938593,-122.14923782,66.3958939531964,-11.489572278833293
1703098105115987712,47.63941539,-122.14920782,68.65379689591447,-8.198858693475586
1703098105324191744,47.639447,-122.14918267,70.54667219630623,-4.66798780465183
1703098105532584704,47.6394805,-122.14916247,72.06699351330394,-0.926001887791017
1703098105740886784,47.63951558,-122.1491474,73.2012134230274,2.9924717225071618
1703098105949231104,47.63955192,-122.14913766,73.93427924717116,7.051688683645807
1703098106157536512,47.63958914,-122.14913343,74.25264355993998,11.20920258799174
1703098106357614592,47.63962503,-122.14913474,74.15404846724822,15.21815406633209
1703098106566018304,47.63966251,-122.14914182,73.62118337180924,19.40471025037027
1703098106774266112,47.63969912,-122.14915458,72.66082198652065,23.494086501330003
1703098106982591744,47.63973401,-122.1491728,71.28952226517862,27.39133690710105
1703098107190880512,47.639767,-122.14919641,69.51255264902012,31.07635527683783
1703098107399255040,47.63979767,-122.14922496,67.3637816814678,34.502227158839105
1703098107599571200,47.63982475,-122.14925677,64.96965192731386,37.52709219213557
1703098107807921664,47.63985044,-122.14929426,62.14802588139529,40.39669273439017
1703098108015950848,47.63987342,-122.14933588,59.015561865690685,42.96358337256834
1703098108224255744,47.6398935,-122.14938126,55.6001073465554,45.20654090072185
1703098108432739584,47.63991049,-122.14942999,51.93252033175096,47.1043421164552
1703098108641058816,47.63992414,-122.14948159,48.04892727027589,48.629061750915525
1703098108849380608,47.63993411,-122.14953505,44.02534422395851,49.742721439827164
1703098109057778176,47.63994027,-122.14959002,39.888113397068715,50.430800043699264
1703098109266022144,47.63994242,-122.14964501,35.74937730234837,50.67095734929694
1703098109466074112,47.63994066,-122.14969721,31.820626181061428,50.47436346217182
1703098109674458368,47.63993486,-122.14975077,27.789516793676277,49.8264972435436
1703098109882766080,47.6399252,-122.1498026,23.888613140659707,48.74746488710002
1703098110091097344,47.6399118,-122.14985233,20.14576269411216,47.25067052078202
1703098110299522816,47.63989477,-122.14989976,16.576018141914286,45.348401262401694
1703098110507911168,47.63987426,-122.14994457,13.203463778930017,43.05741227312865
1703098110716293120,47.63985048,-122.14998633,10.060462880751441,40.40116077774769
1703098110917491712,47.63982456,-122.15002341,7.2696948425944,37.50586898831898
1703098111117642240,47.63979621,-122.15005658,4.7732068223422575,34.33914359334267
1703098111325838592,47.63976463,-122.15008635,2.5326144692506674,30.81162373632651
1703098111525861632,47.63973305,-122.15010963,0.7804817837864165,27.284103877889265
1703098111725939456,47.63970037,-122.15012756,-0.5689915425224691,23.633712840620547
1703098111926711808,47.63966654,-122.15014023,-1.5225792187435232,19.854865571033997
1703098112135140608,47.63963057,-122.15014776,-2.089312857605136,15.83697800668915
1703098112343429120,47.63959431,-122.15014955,-2.2240343992954283,11.786697130844459
1703098112551798784,47.63955772,-122.1501456,-1.9267438457294357,7.699554901563488
1703098112759991808,47.63952109,-122.15013595,-1.2004517325682527,3.6079446303460827
1703098112960215808,47.63948626,-122.15012137,-0.10311090001348044,-0.2826037125203129
1703098113168484864,47.63945115,-122.15010086,1.4405420779328817,-4.2044283546260885
1703098113376744448,47.63941814,-122.15007537,3.3590069448492006,-7.891680746041629
